"Keyword Version: 8.5","Revision: 2015-09-02 07:15:23","Timestamp: 2017-11-06 00:36:09","Terms Of Use: http://gcmd.nasa.gov/r/l/TermsOfUse","The most up to date XML representations can be found here: https://gcmdservices.gsfc.nasa.gov/kms/concepts/concept_scheme/chronounits/?format=xml""Case native"
Eon,Era,Period,Epoch,Stage,UUID
"ARCHAEAN","","","","","7160e90a-d7c4-4817-9b1c-e82211688bdb"
"HADEAN","","","","","c7626c29-a1d3-4d0c-a263-616fe060f164"
"NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","","","bf921c77-6ec0-494f-a9b8-54c01ca6560a"
"NOT APPLICABLE","NOT APPLICABLE","","","","c3103f11-b82a-45fc-82b5-2ac7e353950d"
"NOT APPLICABLE","","","","","0673738a-3751-4d6e-9df0-b2eda0bde993"
"PHANEROZOIC","CENOZOIC","NEOGENE","MIOCENE","","32bf646d-d80c-49be-aee8-87ccdd4785af"
"PHANEROZOIC","CENOZOIC","NEOGENE","PLIOCENE","","6cb96c3b-1a1c-4d26-a894-2638d5cd05d1"
"PHANEROZOIC","CENOZOIC","NEOGENE","","","e5a3aed9-de46-4903-a999-f9f8bcdf1cd7"
"PHANEROZOIC","CENOZOIC","PALEOGENE","EOCENE","","afd62c36-fd25-4673-a56d-85be8d47f3d0"
"PHANEROZOIC","CENOZOIC","PALEOGENE","OLIGOCENE","","5e89981e-0ef5-4aec-b118-54fdf197eb05"
"PHANEROZOIC","CENOZOIC","PALEOGENE","PALEOCENE","","cb277225-be9e-4c22-954e-fe7352e9faa6"
"PHANEROZOIC","CENOZOIC","PALEOGENE","","","a77f665d-345c-49b0-9e9b-f9f78a1415cc"
"PHANEROZOIC","CENOZOIC","QUATERNARY","HOLOCENE","","e000088a-8252-4603-ba55-38189c45612c"
"PHANEROZOIC","CENOZOIC","QUATERNARY","PLEISTOCENE","","a686e751-3639-4cd0-840b-c8ad25c441c1"
"PHANEROZOIC","CENOZOIC","QUATERNARY","","","c7e7fb38-44ef-4c5b-aa1d-b3fdcf89d838"
"PHANEROZOIC","CENOZOIC","","","","db5be985-d8dc-4063-abff-4cbd8eb39653"
"PHANEROZOIC","MESOZOIC","CRETACEOUS","","","0d7a2c62-d0b0-4a13-8412-d7cc8d68aeff"
"PHANEROZOIC","MESOZOIC","JURASSIC","","","2fc65458-428c-4d02-ae15-f4b0a1c1dc39"
"PHANEROZOIC","MESOZOIC","TRIASSIC","","","b44427cd-4b20-42a3-9e14-8d1f6d8399d5"
"PHANEROZOIC","MESOZOIC","","","","a0bd8bda-adb6-4ea2-ae02-5caef1557ad6"
"PHANEROZOIC","PALEOZOIC","CAMBRIAN","","","167bba30-03d3-4898-8c53-6e50828d1749"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","MISSISSIPPIAN","","a9aac8e7-10bc-4fe9-bf8e-c45db58b5eca"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","PENNSYLVANIAN","","b99b0ad0-93d2-4acf-912c-13d5a1ba12a6"
"PHANEROZOIC","PALEOZOIC","CARBONIFEROUS","","","b5b2981d-1623-4988-8b28-4cb8085a62e1"
"PHANEROZOIC","PALEOZOIC","DEVONIAN","","","866fbfc3-7395-4a77-bc1e-29272e8b795c"
"PHANEROZOIC","PALEOZOIC","ORDOVICIAN","","","02f8be65-6bdd-4f4d-9e69-adac5aec33f6"
"PHANEROZOIC","PALEOZOIC","PERMIAN","","","50437b21-5bf8-4e7e-abe0-007b56c09cca"
"PHANEROZOIC","PALEOZOIC","SILURIAN","","","3be2d037-28aa-40c7-8877-530fbcaa2c03"
"PHANEROZOIC","PALEOZOIC","","","","0e098a6e-2123-4566-9069-6a3401775ca3"
"PHANEROZOIC","","","","","af145656-986a-4969-bb77-6e5b2cff1ede"
"PROTEROZOIC","NEOPROTEROZOIC","EDIACARAN","","","8081c24d-2a51-4f26-825c-8406b5bbf1f0"
"PROTEROZOIC","NEOPROTEROZOIC","","","","d0ab2b43-d68f-4ab0-8e5a-fd55974c3f29"
"PROTEROZOIC","PRECAMBRIAN","","","","25223fe0-e790-47b1-9eac-e114d73bbf75"
"PROTEROZOIC","","","","","4407ca3c-3dc0-402c-bfc3-4dabd23f283a"
